##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	gruppe3_2.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	363700503
1116	70-74	-0.005925283149291971
1116	75-79	-0.0037198635641750855
1116	80-84	-0.006282020874369465
1116	85-89	0.012388026732320867
1116	90-94	0.02509072381969446
1116	95-99	0.03453262389191636
1116	100-104	0.0019094250101865384
1116	105-109	-0.08983051023276545
1116	110-114	-0.09721922703138475
1116	115-119	-0.04550238376274507
1116	120-124	-0.025661136406029073
1116	125-129	-0.0175362175590692
1116	130-134	-0.03985535133958962
1116	135-139	-0.020676499743625953
1116	140-144	-0.002935460005915047
1116	145-149	-0.010610482982027492
1116	150	-0.001040112248801961
1117	1	-0.017143917014760035
1117	2	-0.034935195944299835
1117	3	-0.026487406699828853
1117	4	-0.025494825718737957
1117	5	-0.01289490912108704
1117	6	-0.03782646396220102
1117	7	-0.048704421964309574
1117	8	-0.021060485514563965
1117	9	-0.051898444109856
1117	10-14	-0.03348078879944083
1117	15-19	-0.017342570060737472
1117	20-24	-0.029630003376855285
1117	25-29	-0.020917658773509373
1117	30-34	-0.03212097712389905
1117	35-39	-0.012673336573026717
1117	40-44	-0.02098168253774446
1117	45-49	-0.022498890756033063
1117	50-54	-0.007886552305418348
1117	55-59	0.0019107346063975683
1117	60-64	-0.003734336813483452
1117	65-69	-0.011695902485175935
1117	70-74	0.008045610184314711
1117	75-79	7.35136783145407E-4
1117	80-84	0.0058557963048784245
1117	85-89	0.030284384757461424
1117	90-94	0.045013954728645444
1117	95-99	0.029578479712121464
1117	100-104	0.012352738894861659
1117	105-109	-0.08490762377790162
1117	110-114	-0.10405385799554878
1117	115-119	-0.036622196564451315
1117	120-124	-0.04070793820390506
1117	125-129	-0.029251785618821913
1117	130-134	-0.015372653155782956
1117	135-139	-0.009695391037460865
1117	140-144	-0.009145037625774677
1117	145-149	0.009353892288956445
1117	150	0.027665194172232788
1118	1	0.004971468857092987
1118	2	-0.02190477282307768
1118	3	-0.0037999657795069197
1118	4	-0.014351738588583629
1118	5	-0.0014941520746774017
1118	6	-0.008803194532966074
1118	7	-0.025428066007183503
1118	8	-0.04237002343731433
1118	9	-0.02839865877989567
1118	10-14	-0.036401333453770945
1118	15-19	-0.025858548044336516
1118	20-24	-0.02812407708033149
1118	25-29	-0.029742044933151135
1118	30-34	-0.015566601308343309
1118	35-39	-0.0047385841117062455
1118	40-44	0.0013269260246353554
1118	45-49	-0.014015089640533773
1118	50-54	-0.027531015521898183
1118	55-59	-0.010512861732376422
1118	60-64	-0.004046600370607223
1118	65-69	-0.005365631823078587
1118	70-74	-0.0184628735291561
1118	75-79	-0.008660788107746953
1118	80-84	-0.003959242186418521
1118	85-89	0.015511740000366814
1118	90-94	0.041690443604519345
1118	95-99	0.03062020442242286
1118	100-104	-0.0022818154398187573
1118	105-109	-0.09232322777040736
1118	110-114	-0.0977059815535739
1118	115-119	-0.040908279162518824
1118	120-124	-0.025320382475243264
1118	125-129	-0.0546981548723835
1118	130-134	-0.017846626438537072
1118	135-139	-0.008578270201628158
1118	140-144	0.0060530413681938455
1118	145-149	-0.0036630369984962385
1118	150	0.004265649812619898
1119	1	-0.018979345187084107
1119	2	-0.020044395256611836
1119	3	-0.01758150027086458
1119	4	-0.010645895239168368
1119	5	-0.014997058406208907
1119	6	-0.0238692821310309
1119	7	-0.011155383926340079
1119	8	-0.010368219747856955
1119	9	-0.002415655529830474
1119	10-14	0.004030577393866253
1119	15-19	-0.003260873621822924
1119	20-24	-0.005216808949239038
1119	25-29	5.447400570979255E-4
1119	30-34	0.007395376417115074
1119	35-39	-7.385156841266394E-5
1119	40-44	0.01829141915372645
1119	45-49	0.004017273320510384
1119	50-54	0.008703310195752323
1119	55-59	0.0016776188660756475
1119	60-64	0.01131520242456574
1119	65-69	0.011013734746317283
1119	70-74	0.00817292141492132
1119	75-79	0.032931271694188524
1119	80-84	0.025471482872173823
1119	85-89	0.04258249236702838
1119	90-94	0.06661900770332707
1119	95-99	0.06082360167988199
1119	100-104	0.011099455388720258
1119	105-109	-0.08422623988651168
1119	110-114	-0.06436297403276114
1119	115-119	-0.040642444008437195
1119	120-124	-0.025678408193076763
1119	125-129	0.007928867127937167
1119	130-134	-0.008398628316570012
1119	135-139	-0.015235281718258165
1119	140-144	-0.009684751018301796
1119	145-149	0.026276650246146005
1119	150	-0.011633893532039252
1120	1	-0.022527873725930903
1120	2	-0.029605523691071056
1120	3	-0.03151051483454026
1120	4	-0.021557410696942725
1120	5	-0.010878415550276799
1120	6	-0.026981773097247697
1120	7	-0.03037094978848387
1120	8	-0.0267009803436693
1120	9	-0.049524602570066634
1120	10-14	-0.020162706551470677
1120	15-19	-0.03292932524029979
1120	20-24	-0.028686117289705493
1120	25-29	-0.025725995281487002
1120	30-34	-0.033533270456555186
1120	35-39	-0.028699473215599625
1120	40-44	-0.013200383427673046
1120	45-49	-0.008201739470525382
1120	50-54	-0.024213671732727704
1120	55-59	-0.016639429653682924
1120	60-64	-0.019356590077176605
1120	65-69	-0.005770591193318353
1120	70-74	-0.005481529370438665
1120	75-79	-0.006904787341508012
1120	80-84	0.0018663354477972405
1120	85-89	0.012319693671727805
1120	90-94	0.03431247548184402
1120	95-99	0.04677334055568849
1120	100-104	-0.0042263343834711975
1120	105-109	-0.12424735640798446
1120	110-114	-0.1282321566189637
1120	115-119	-0.0693318926332438
1120	120-124	-0.03642204811961136
1120	125-129	-0.043761854632531794
1120	130-134	-0.049867368947936086
1120	135-139	-0.022214257315010144
