##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	gruppe3_1.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	363700503
Total Bases	54.5 Gbp
Sequences flagged as poor quality	0
Sequence length	150
%GC	41
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	29.7707675042726	30.0	30.0	30.0	30.0	30.0
2	29.805309716604928	30.0	30.0	30.0	30.0	30.0
3	29.836867539333593	30.0	30.0	30.0	30.0	30.0
4	29.864797041537223	30.0	30.0	30.0	30.0	30.0
5	29.86969331191714	30.0	30.0	30.0	30.0	30.0
6	29.880652273939802	30.0	30.0	30.0	30.0	30.0
7	29.884807434539074	30.0	30.0	30.0	30.0	30.0
8	29.871843251203863	30.0	30.0	30.0	30.0	30.0
9	29.886611842271773	30.0	30.0	30.0	30.0	30.0
10-14	29.885767621278216	30.0	30.0	30.0	30.0	30.0
15-19	29.879432204139675	30.0	30.0	30.0	30.0	30.0
20-24	29.8651919147882	30.0	30.0	30.0	30.0	30.0
25-29	29.80850541963644	30.0	30.0	30.0	30.0	30.0
30-34	29.781856180715817	30.0	30.0	30.0	30.0	30.0
35-39	29.747682973647137	30.0	30.0	30.0	30.0	30.0
40-44	29.723423466367876	30.0	30.0	30.0	30.0	30.0
45-49	29.701831390098466	30.0	30.0	30.0	30.0	30.0
50-54	29.68212809922894	30.0	30.0	30.0	30.0	30.0
55-59	29.662138011395605	30.0	30.0	30.0	30.0	30.0
60-64	29.641091836488336	30.0	30.0	30.0	30.0	30.0
65-69	29.614385685905965	30.0	30.0	30.0	30.0	30.0
70-74	29.603112486209568	30.0	30.0	30.0	30.0	30.0
75-79	29.569923750146692	30.0	30.0	30.0	30.0	30.0
80-84	29.549234683901442	30.0	30.0	30.0	30.0	30.0
85-89	29.5253596886007	30.0	30.0	30.0	30.0	30.0
90-94	29.49457846089369	30.0	30.0	30.0	30.0	30.0
95-99	29.4742534089924	30.0	30.0	30.0	30.0	30.0
100-104	29.455652657703364	30.0	30.0	30.0	30.0	30.0
105-109	29.426851755000182	30.0	30.0	30.0	30.0	30.0
110-114	29.40765238809692	30.0	30.0	30.0	30.0	30.0
115-119	29.37537487760912	30.0	30.0	30.0	30.0	30.0
120-124	29.360241478687207	30.0	30.0	30.0	30.0	30.0
125-129	29.330353299511387	30.0	30.0	30.0	30.0	30.0
130-134	29.294057513030168	30.0	30.0	30.0	30.0	30.0
135-139	29.30693401983005	30.0	30.0	30.0	30.0	30.0
140-144	29.26797306903917	30.0	30.0	30.0	30.0	30.0
145-149	29.278199265509404	30.0	30.0	30.0	30.0	30.0
150	29.352184684770698	30.0	30.0	30.0	30.0	30.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1103	20-24	-0.033530245744049836
1103	25-29	-0.04201662121966976
1103	30-34	-0.022259262370344146
1103	35-39	-0.026359595097670052
1103	40-44	-0.03126978813214265
1103	45-49	-0.04636366886631649
1103	50-54	-0.032916778209177266
1103	55-59	-0.04283587770407493
1103	60-64	-0.04376560260781304
1103	65-69	-0.05628837306752388
1103	70-74	-0.04820882207052435
1103	75-79	-0.06611753863257874
1103	80-84	-0.039386367868640804
1103	85-89	-0.05037831781459445
1103	90-94	-0.07295880653724396
1103	95-99	-0.09619166214723762
1103	100-104	-0.0884633202266798
1103	105-109	-0.13806287053942512
1103	110-114	-0.07637311424040405
1103	115-119	-0.10767135356731927
1103	120-124	-0.061279637855967906
1103	125-129	-0.04929215770159345
1103	130-134	-0.07076049492408387
1103	135-139	-0.08542844537004868
1103	140-144	-0.06454303304633768
1103	145-149	-0.12126140227910298
1103	150	-0.014025141399265806
1104	1	-0.018319010813780068
1104	2	-0.006488737681035417
1104	3	-0.004062544358305331
1104	4	-0.005559255161738719
1104	5	-0.011014306197544954
1104	6	-0.011351663110673371
1104	7	0.005735486937972212
1104	8	-0.0069120287250896695
1104	9	-0.005616892145457797
1104	10-14	-0.0033141582918965184
1104	15-19	-0.007624362816748942
1104	20-24	-0.01694029068126568
1104	25-29	-0.009731153195037479
1104	30-34	-0.028310320109184772
1104	35-39	-0.03294679597917849
1104	40-44	-0.014962601790827534
1104	45-49	-0.038917614479199614
1104	50-54	-0.0332011127997589
1104	55-59	-0.021446575373712307
1104	60-64	-0.019496158062409563
1104	65-69	-0.04033209646195246
1104	70-74	-0.062227418413772995
1104	75-79	-0.05417527034277114
1104	80-84	-0.03879549750596212
1104	85-89	-0.04396147579470977
1104	90-94	-0.05291178258844198
1104	95-99	-0.05877220875256839
1104	100-104	-0.047151003136978176
1104	105-109	-0.04096824869910165
1104	110-114	-0.04029226076733039
1104	115-119	-0.08142238260992585
1104	120-124	-0.037824169066375646
1104	125-129	-0.06645738325350337
1104	130-134	-0.0335095145914579
1104	135-139	-0.04846484132271556
1104	140-144	-0.045905070033924744
1104	145-149	-0.043249472489719665
1104	150	-0.048939050896834146
1105	1	-0.07515057097620925
1105	2	-0.0014672541213158752
1105	3	-0.0036297117025974046
1105	4	-0.015071005832606232
1105	5	-0.030800714700351506
1105	6	8.750639215051592E-4
1105	7	0.010708320658860515
1105	8	-0.013790695012627197
1105	9	6.155521543327325E-4
1105	10-14	-0.010121739375776428
1105	15-19	-0.01118488542272189
1105	20-24	-0.01664691882159275
1105	25-29	-0.02871831705246919
1105	30-34	-0.028649359881836034
1105	35-39	-0.06494027857634777
1105	40-44	-0.033644878076007245
1105	45-49	-0.042578709816268656
1105	50-54	-0.028286383051916886
1105	55-59	-0.03164536909767435
1105	60-64	-0.04011244037494066
1105	65-69	-0.0577517955363831
